ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,concession,⟶,1,3,S,4,14,N,,,,,,,,,,,,No matching,,,,,,
2,,,,,,,,,,,,1-3,background,⟶,1,4,S,5,14,N,,No matching,,,,,,
3,,2,elaboration,⟵,2,3,S,1,1,N,,2,elaboration,⟵,2,3,S,1,1,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
4,,3,e-elaboration,⟵,3,3,S,2,2,N,,3,e-elaboration,⟵,3,3,S,2,2,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
5,,5,elaboration,⟵,5,14,S,4,4,N,,5,preparation,⟶,5,5,S,6,7,N,,Completely identical CS,✗,✗,✗,✗,,"N/S, ≠R"
6,,6,attribution,⟶,6,6,S,7,7,N,,6,attribution,⟶,6,6,S,7,7,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
7,,6-14,purpose,⟵,6,14,S,5,5,N,,,,,,,,,,,,No matching,,,,,,
8,,,,,,,,,,,,4,interpretation,⟵,4,4,S,1,3,N,,No matching,,,,,,
9,,8,attribution,⟶,8,8,S,9,10,N,,8,attribution,⟶,8,8,S,9,10,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
10,,13,concession,⟶,13,13,S,14,14,N,,13,elaboration,⟶,13,13,S,14,14,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
11,,7|8-14,contrast,⟷,6,7,N,8,14,N,,,,,,,,,,,,No matching,,,,,,
12,,,,,,,,,,,,6-7,concession,⟶,5,7,S,8,11,N,,No matching,,,,,,
13,,9|10,conjunction,⟷,9,9,N,10,10,N,,9|10,conjunction,⟷,9,9,N,10,10,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
14,,9-10|11|12-14,list,⟷,8,10,N,11,14,N,,11,e-elaboration,⟵,11,11,S,8,10,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
15,,11|12-14,list,⟷,11,11,N,12,14,N,,,,,,,,,,,,No matching,,,,,,
16,,,,,,,,,,,,8-11,background,⟶,5,11,S,12,14,N,,No matching,,,,,,
17,,12|14,sameunit,⟷,12,12,N,13,14,N,,12|14,sameunit,⟷,12,12,N,13,14,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
