ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,3-9,elaboration,⟵,3,9,S,1,2,N,,3-9,elaboration,⟵,3,9,S,1,2,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
2,,7,attribution,⟵,7,7,S,5,6,N,,7,attribution,⟵,7,7,S,5,6,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
3,,10,background,⟵,10,10,S,1,9,N,,1-2|10,contrast,⟷,1,9,N,10,10,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
4,,1|2,contrast,⟷,1,1,N,2,2,N,,2,concession,⟵,2,2,S,1,1,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
5,,3|4,contrast,⟷,3,3,N,4,4,N,,4,concession,⟵,4,4,S,3,3,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
6,,3-4|5-6|8-9,list,⟷,3,4,N,5,9,N,,3|5-6|8,list,⟷,3,4,N,5,9,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
7,,5|6,contrast,⟷,5,5,N,6,6,N,,6,concession,⟵,6,6,S,5,5,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
8,,5-6|8-9,list,⟷,5,7,N,8,9,N,,5-6|8,list,⟷,5,7,N,8,9,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
9,,8|9,contrast,⟷,8,8,N,9,9,N,,9,concession,⟵,9,9,S,8,8,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
