ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,preparation,⟶,1,1,S,2,8,N,,2-5,background,⟵,2,8,S,1,1,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
2,,2,attribution,⟶,2,2,S,3,3,N,,2,attribution,⟶,2,2,S,3,3,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
3,,5,e-elaboration,⟵,5,5,S,4,4,N,,4,concession,⟶,4,4,S,5,5,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
4,,6-8,restatement,⟵,6,8,S,2,5,N,,8,e-elaboration,⟵,6,8,S,2,5,N,,C1=C2 and A1=A2,✓,✗,✓,✓,NCA,≠R
5,,3|4,list,⟷,2,3,N,4,5,N,,3|5,conjunction,⟷,2,3,N,4,5,N,,C1=C2 and A1=A2,✓,✗,✓,✓,NCA,≠R
6,,6|7,contrast,⟷,6,6,N,7,7,N,,6,concession,⟶,6,6,S,7,7,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
7,,6-7|8,contrast,⟷,6,7,N,8,8,N,,7,concession,⟶,6,7,S,8,8,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
