ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,attribution,⟶,1,1,S,2,4,N,,1,attribution,⟶,1,1,S,2,4,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
2,,3,elaboration,⟵,3,3,S,2,2,N,,3,elaboration,⟵,3,3,S,2,2,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
3,,4,purpose,⟵,4,4,S,2,3,N,,2|4,sameunit,⟷,2,3,N,4,4,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
4,,5,circumstance,⟶,5,5,S,6,6,N,,5,circumstance,⟶,5,5,S,6,7,N,,Completely identical CS,✓,✓,✓,✗,NRC,
5,,7-11,e-elaboration,⟵,7,11,S,5,6,N,,,,,,,,,,,,No matching,,,,,,
6,,,,,,,,,,,,8-12,background,⟶,5,12,S,13,14,N,,No matching,,,,,,
7,,9-11,e-elaboration,⟵,9,11,S,8,8,N,,,,,,,,,,,,No matching,,,,,,
8,,,,,,,,,,,,6,attribution,⟶,6,6,S,7,7,N,,No matching,,,,,,
9,,10,e-elaboration,⟵,10,10,S,9,9,N,,10|12,sameunit,⟷,10,11,N,12,12,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
10,,13,elaboration,⟵,13,13,S,12,12,N,,,,,,,,,,,,No matching,,,,,,
11,,,,,,,,,,,,6-7,background,⟶,5,7,S,8,12,N,,No matching,,,,,,
12,,2-4|5-6|12,joint,⟷,1,4,N,5,13,N,,2-4,background,⟶,1,4,S,5,14,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
13,,5-6|12,joint,⟷,5,11,N,12,13,N,,,,,,,,,,,,No matching,,,,,,
14,,,,,,,,,,,,10-12,e-elaboration,⟵,10,12,S,8,9,N,,No matching,,,,,,
15,,7|8,conjunction,⟷,7,7,N,8,11,N,,8|9,conjunction,⟷,8,8,N,9,9,N,,Partially identical CS,✓,✓,✗,✗,NR,
16,,9|11,sameunit,⟷,9,10,N,11,11,N,,11,e-elaboration,⟵,11,11,S,10,10,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
