ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,reason,⟶,1,1,S,2,13,N,,1,circumstance,⟶,1,1,S,2,13,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
2,,3-6,elaboration,⟵,3,6,S,2,2,N,,3-6,e-elaboration,⟵,3,6,S,2,2,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
3,,4,condition,⟵,4,4,S,3,3,N,,4,condition,⟵,4,4,S,3,3,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
4,,7,attribution,⟶,7,7,S,8,8,N,,7,attribution,⟶,7,7,S,8,8,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
5,,10,purpose,⟵,10,10,S,9,9,N,,10,purpose,⟵,10,10,S,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,2|7-13,joint,⟷,2,6,N,7,13,N,,2|7-13,joint,⟷,2,6,N,7,13,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
7,,3|5-6,list,⟷,3,4,N,5,6,N,,3|5-6,list,⟷,3,4,N,5,6,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
8,,5|6,conjunction,⟷,5,5,N,6,6,N,,5|6,conjunction,⟷,5,5,N,6,6,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
9,,8|9|11-12|13,list,⟷,7,8,N,9,13,N,,8|9|11-12|13,list,⟷,7,8,N,9,13,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
10,,9|11-12|13,list,⟷,9,10,N,11,13,N,,9|11-12|13,list,⟷,9,10,N,11,13,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
11,,11|12,conjunction,⟷,11,11,N,12,12,N,,11|12,conjunction,⟷,11,11,N,12,12,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
12,,11-12|13,list,⟷,11,12,N,13,13,N,,11-12|13,list,⟷,11,12,N,13,13,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
