ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1-3,background,⟶,1,6,S,7,7,N,,,,,,,,,,,,No matching,,,,,,
2,,,,,,,,,,,,7-16,background,⟵,7,16,S,1,6,N,,No matching,,,,,,
3,,2,e-elaboration,⟵,2,2,S,1,1,N,,2,e-elaboration,⟵,2,2,S,1,1,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
4,,4-6,e-elaboration,⟵,4,6,S,1,3,N,,4-6,elaboration,⟵,4,6,S,1,3,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
5,,5,attribution,⟶,5,5,S,6,6,N,,5,attribution,⟶,5,5,S,6,6,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,7,background,⟶,1,7,S,8,14,N,,7,concession,⟶,7,7,S,8,8,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
7,,8,reason,⟶,8,9,S,10,10,N,,,,,,,,,,,,No matching,,,,,,
8,,,,,,,,,,,,10-14,e-elaboration,⟵,9,14,S,7,8,N,,No matching,,,,,,
9,,9,elaboration,⟵,9,9,S,8,8,N,,9,reason,⟶,9,9,S,10,14,N,,Completely identical CS,✗,✗,✓,✗,C,"N/S, ≠R"
10,,11-14,elaboration,⟵,11,14,S,8,10,N,,,,,,,,,,,,No matching,,,,,,
11,,,,,,,,,,,,11-13,elaboration,⟵,11,14,S,10,10,N,,No matching,,,,,,
12,,14,reason,⟵,14,14,S,13,13,N,,14,reason,⟵,14,14,S,11,13,N,,Completely identical CS,✓,✓,✓,✗,NRC,
13,,15,elaboration,⟵,15,16,S,1,14,N,,,,,,,,,,,,No matching,,,,,,
14,,,,,,,,,,,,7-8|15-16,list,⟷,7,14,N,15,16,N,,No matching,,,,,,
15,,16,elaboration,⟵,16,16,S,15,15,N,,15|16,list,⟷,15,15,N,16,16,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
16,,1|3,sameunit,⟷,1,2,N,3,3,N,,1|3,sameunit,⟷,1,2,N,3,3,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
17,,4|6,sameunit,⟷,4,4,N,5,6,N,,4|6,sameunit,⟷,4,4,N,5,6,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
18,,11|12-14,conjunction,⟷,11,11,N,12,14,N,,11|12|13,list,⟷,11,11,N,12,13,N,,Partially identical CS,✓,✗,✓,✗,NC,≠R
19,,12|13,conjunction,⟷,12,12,N,13,14,N,,12|13,list,⟷,12,12,N,13,13,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
