ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,concession,⟶,1,1,S,2,3,N,,1,preparation,⟶,1,1,S,2,3,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
2,,2,circumstance,⟶,2,2,S,3,3,N,,2,concession,⟶,2,2,S,3,3,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
3,,2-3,background,⟶,1,3,S,4,6,N,,2-3,concession,⟶,1,3,S,4,6,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
4,,4-6,background,⟶,1,6,S,7,15,N,,4-6|7|9,list,⟷,1,6,N,7,9,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
5,,6,e-elaboration,⟵,6,6,S,5,5,N,,6,e-elaboration,⟵,6,6,S,5,5,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,7-9,evaluation-s,⟶,7,9,S,10,15,N,,,,,,,,,,,,No matching,,,,,,
7,,,,,,,,,,,,1-9,background,⟶,1,11,S,12,15,N,,No matching,,,,,,
8,,8,e-elaboration,⟵,8,8,S,7,7,N,,8,elaboration,⟵,8,8,S,7,7,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
9,,10,reason,⟶,10,10,S,11,11,N,,10,enablement,⟶,10,10,S,11,11,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
10,,11,evaluation-s,⟶,10,11,S,12,15,N,,11,evaluation-s,⟵,10,11,S,1,9,N,,Completely identical CS,✗,✓,✓,✗,RC,N/S
11,,12-13,antithesis,⟶,12,13,S,14,14,N,,12-13,antithesis,⟶,12,13,S,14,14,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
12,,15,evaluation-n,⟵,15,15,S,12,14,N,,15,evaluation-s,⟵,15,15,S,12,14,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
13,,4|5,conjunction,⟷,4,4,N,5,6,N,,4|5,conjunction,⟷,4,4,N,5,6,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
14,,7|9,list,⟷,7,8,N,9,9,N,,7|9,list,⟷,7,8,N,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
15,,12|13,list,⟷,12,12,N,13,13,N,,12|13,list,⟷,12,12,N,13,13,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
