ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1-3,preparation,⟶,1,3,S,4,7,N,,1-3,preparation,⟶,1,3,S,4,7,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
2,,4,circumstance,⟶,4,4,S,5,7,N,,4,preparation,⟶,4,4,S,5,5,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
3,,5,background,⟶,5,5,S,6,7,N,,5,concession,⟶,4,5,S,6,6,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
4,,7,e-elaboration,⟵,7,7,S,6,6,N,,7,elaboration,⟵,7,7,S,4,6,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
5,,1|2|3,list,⟷,1,1,N,2,3,N,,1|2-3,list,⟷,1,1,N,2,3,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
6,,2|3,list,⟷,2,2,N,3,3,N,,2|3,conjunction,⟷,2,2,N,3,3,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
