ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1-4,background,⟶,1,4,S,5,10,N,,1-3|5-10,joint,⟷,1,4,N,5,10,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
2,,2,e-elaboration,⟵,2,2,S,1,1,N,,2,e-elaboration,⟵,2,2,S,1,1,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
3,,4,elaboration,⟵,4,4,S,3,3,N,,4,evidence,⟵,4,4,S,1,3,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
4,,6,e-elaboration,⟵,6,6,S,5,5,N,,6,e-elaboration,⟵,6,6,S,5,5,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
5,,9,e-elaboration,⟵,9,9,S,8,8,N,,9,e-elaboration,⟵,9,9,S,8,8,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,1|3,sameunit,⟷,1,2,N,3,4,N,,1|3,sameunit,⟷,1,2,N,3,3,N,,Completely identical CS,✓,✓,✓,✗,NRC,
7,,5|7|8-9,sameunit,⟷,5,6,N,7,9,N,,5|8-9,sameunit,⟷,5,6,N,7,9,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
8,,5-9|10,list,⟷,5,9,N,10,10,N,,5-9|10,conjunction,⟷,5,9,N,10,10,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
9,,7|8-9,sameunit,⟷,7,7,N,8,9,N,,7,attribution,⟶,7,7,S,8,9,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
