ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1-2,concession,⟶,1,4,S,5,13,N,,,,,,,,,,,,No matching,,,,,,
2,,,,,,,,,,,,1,antithesis,⟶,1,4,S,5,9,N,,No matching,,,,,,
3,,2,e-elaboration,⟵,2,2,S,1,1,N,,2,e-elaboration,⟵,2,4,S,1,1,N,,Completely identical CS,✓,✓,✗,✓,NRA,
4,,3-4,e-elaboration,⟵,3,4,S,1,2,N,,3-4,e-elaboration,⟵,3,4,S,2,2,N,,Completely identical CS,✓,✓,✓,✗,NRC,
5,,6,circumstance,⟵,6,6,S,5,5,N,,6|7-9,list,⟷,6,6,N,7,9,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
6,,9,elaboration,⟵,9,9,S,8,8,N,,,,,,,,,,,,No matching,,,,,,
7,,,,,,,,,,,,10-11,reason,⟶,10,11,S,12,12,N,,No matching,,,,,,
8,,11-12,motivation,⟵,11,13,S,5,10,N,,,,,,,,,,,,No matching,,,,,,
9,,,,,,,,,,,,10|11,conjunction,⟷,10,10,N,11,11,N,,No matching,,,,,,
10,,12,elaboration,⟵,12,12,S,11,11,N,,12,evaluation-s,⟵,10,12,S,1,9,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
11,,3|4,conjunction,⟷,3,3,N,4,4,N,,3|4,conjunction,⟷,3,3,N,4,4,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
12,,5|7-10,sameunit,⟷,5,6,N,7,10,N,,5|6|7-9,list,⟷,5,5,N,6,9,N,,Partially identical CS,✓,✗,✗,✗,N,≠R
13,,7|8-10,conjunction,⟷,7,7,N,8,10,N,,7|9,sameunit,⟷,7,8,N,9,9,N,,Partially identical CS,✓,✗,✗,✗,N,≠R
14,,8|10,sameunit,⟷,8,9,N,10,10,N,,8,elaboration,⟵,8,8,S,7,7,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
