ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,2,elaboration,⟵,2,2,S,1,1,N,,1|2,joint,⟷,1,1,N,2,2,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
2,,3,preparation,⟶,3,3,S,4,4,N,,3,concession,⟶,3,3,S,4,4,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
3,,4,background,⟶,3,4,S,5,9,N,,4,reason-n,⟶,3,4,S,5,9,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
4,,5-9,background,⟵,3,9,S,1,2,N,,1-2,justify,⟶,1,2,S,3,9,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
5,,6,elaboration,⟵,6,9,S,5,5,N,,6,evidence,⟵,6,9,S,5,5,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
6,,7-9,elaboration,⟵,7,9,S,6,6,N,,7,e-elaboration,⟵,7,9,S,6,6,N,,C1=C2 and A1=A2,✓,✗,✓,✓,NCA,≠R
7,,7|8|9,conjunction,⟷,7,7,N,8,9,N,,8-9,interpretation,⟵,8,9,S,7,7,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
8,,8|9,conjunction,⟷,8,8,N,9,9,N,,8|9,conjunction,⟷,8,8,N,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
