ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1-5,concession,⟶,1,5,S,6,12,N,,1-5|6-12,contrast,⟷,1,5,N,6,12,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
2,,2,e-elaboration,⟵,2,2,S,1,1,N,,2,e-elaboration,⟵,2,2,S,1,1,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
3,,7,attribution,⟶,7,7,S,8,8,N,,7,attribution,⟶,7,7,S,8,8,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
4,,9-12,elaboration,⟵,9,12,S,7,8,N,,6|9-12,list,⟷,6,8,N,9,12,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
5,,10,attribution,⟵,10,10,S,9,9,N,,10,attribution,⟵,10,10,S,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,1|3-5,sameunit,⟷,1,2,N,3,5,N,,1|3,sameunit,⟷,1,2,N,3,3,N,,Partially identical CS,✓,✓,✓,✗,NRC,
7,,3|4|5,conjunction,⟷,3,3,N,4,5,N,,1-3|4|5,list,⟷,1,3,N,4,5,N,,Partially identical CS,✓,✗,✗,✓,NA,≠R
8,,4|5,conjunction,⟷,4,4,N,5,5,N,,4|5,list,⟷,4,4,N,5,5,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
9,,6|7-8,sameunit,⟷,6,6,N,7,12,N,,,,,,,,,,,,No matching,,,,,,
10,,,,,,,,,,,,8,e-elaboration,⟵,7,8,S,6,6,N,,No matching,,,,,,
11,,9|11,sameunit,⟷,9,10,N,11,11,N,,9|11,sameunit,⟷,9,10,N,11,12,N,,Completely identical CS,✓,✓,✓,✗,NRC,
12,,9-11|12,contrast,⟷,9,11,N,12,12,N,,12,concession,⟵,12,12,S,11,11,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
